filename,CountryName,surveyyr,Gini,Polarisation_0,Polarisation_-2,Mean
ALHR50DT,Albania,2009,0.171730490681647,0.11377038864757,0.505328493857649,-0.40319996346392
ALHR71DT,Albania,2017,0.126840117736918,0.114583207296754,0.534016720753514,-0.333850546996162
AMHR42DT,Armenia,2000,0.127604682209128,0.146073458243575,0.414032930257993,-0.650492180678962
AMHR54DT,Armenia,2005,0.148995047225261,0.153004790327707,0.531549942694067,-0.419216331038813
AMHR61DT,Armenia,2010,0.158902341961156,0.163780844193808,0.362129120614018,-0.735699992681523
AMHR72DT,Armenia,2016,0.131016854031238,0.0861674846421075,0.605679901477698,-0.142721698105964
AOHR71DT,Angola,2016,0.196179298087712,0.334823357782302,0.183158910439006,-1.53179904717276
AZHR52DT,Azerbaijan,2006,0.158099798582449,0.194359868801181,0.326487510211082,-1.04436599554103
BDHR3ADT,Bangladesh,1997,0.218979722877225,0.482586020237844,0.172467625973823,-2.14673226158738
BDHR41DT,Bangladesh,2000,0.192936714046891,0.400024321818378,0.154351894859811,-1.83983604025317
BDHR4JDT,Bangladesh,2004,0.186433204244234,0.392620209413574,0.157290726216982,-1.78161828809362
BDHR51DT,Bangladesh,2007,0.193280619081706,0.388329685171878,0.175071737764243,-1.75802446015747
BDHR61DT,Bangladesh,2011,0.182278191849653,0.358856850787676,0.1764036151309,-1.67300281690176
BDHR72DT,Bangladesh,2014,0.1683236133847,0.338158818908645,0.157054103593033,-1.53990365597184
BFHR21DT,Burkina Faso,1993,0.216019479394836,0.248728163235655,0.271123278858018,-1.29665584225806
BFHR31DT,Burkina Faso,1999,0.216757810752569,0.301664159133638,0.2216629921568,-1.47364272877525
BFHR43DT,Burkina Faso,2003,0.222909868148527,0.304773022573328,0.2333909619674,-1.50333680966222
BFHR62DT,Burkina Faso,2011,0.192163892102886,0.287111847610672,0.227786336047835,-1.39685618673099
BJHR31DT,Benin,1996,0.153405118265583,0.210072475109354,0.28033101237933,-1.05527821566041
BJHR41DT,Benin,2001,0.16624114043045,0.262061175057895,0.229677381879938,-1.27556513290928
BJHR51DT,Benin,2006,0.23384951649394,0.354839816906432,0.197849785681758,-1.70802733244928
BJHR61DT,Benin,2012,0.296890071225636,0.348526694873104,0.269273970774449,-1.60467554026521
BJHR71DT,Benin,2018,0.160437820816246,0.308661892421916,0.185489764490541,-1.44736370425594
BOHR31DT,Bolivia,1994,0.163721679531169,0.227346946226157,0.259207948810932,-1.15904891080735
BOHR3BDT,Bolivia,1998,0.131699025108068,0.232874551191965,0.2319619226774,-1.18537496841725
BOHR41DT,Bolivia,2004,0.145152651303866,0.253816829179292,0.223419636998689,-1.21734030934243
BOHR51DT,Bolivia,2008,0.16555099561248,0.264068358609019,0.237434508024667,-1.23513210747416
BRHR31DT,Brazil,1996,0.0908255006393244,0.0748971488548616,0.565792944703257,-0.39855907462757
BUHR61DT,Burundi,2011,0.241434811043911,0.516489821777333,0.193794996156833,-2.20101999472397
BUHR70DT,Burundi,2017,0.205291766254526,0.505988309129715,0.1623484643132,-2.1792200993657
CDHR50DT,"Congo, Democratic Republic of",2007,0.260004818147681,0.396058707364978,0.212434350435521,-1.66368504366707
CDHR61DT,"Congo, Democratic Republic of",2014,0.213339072853095,0.327842780309095,0.198696960693315,-1.60412847621773
CFHR31DT,Central African Republic,1995,0.185559490354904,0.276257863385358,0.227950451556807,-1.38979695447628
CGHR51DT,"Congo, Republic of",2005,0.222907157354881,0.235251987945262,0.298036888544073,-1.12951396419404
CGHR60DT,"Congo, Republic of",2012,0.109753891951426,0.207515712206991,0.300587914301619,-1.01858265479598
CIHR35DT,Cote d'Ivoire,1994,0.160614841407218,0.206055772514836,0.291397152941421,-1.09132880794152
CIHR3ADT,Cote d'Ivoire,1999,0.200586044091221,0.224358719825935,0.274086454252608,-1.14254149038092
CIHR62DT,Cote d'Ivoire,2012,0.176428873326786,0.254913585460837,0.243184791291724,-1.22340827260183
CMHR22DT,Cameroon,1991,0.200117511879416,0.230169233826709,0.279488050808482,-1.18995486998768
CMHR31DT,Cameroon,1998,0.193327195986525,0.227944651990075,0.282897006143852,-1.14541819423866
CMHR44DT,Cameroon,2004,0.185328885575219,0.244973463950779,0.263818636456011,-1.25195585695467
CMHR61DT,Cameroon,2011,0.198660721261185,0.260499556041835,0.246080687050182,-1.26423804837256
COHR31DT,Colombia,1995,0.127486058415232,0.174580080108021,0.337993326261243,-0.888521800173415
COHR41DT,Colombia,2000,0.110747389915465,0.164500752398688,0.381078288224368,-0.83326484727215
COHR53DT,Colombia,2005,0.117298529160198,0.164077084988871,0.381825721540173,-0.736622990888493
COHR61DT,Colombia,2010,0.106314770335472,0.194528965502237,0.325203603178653,-0.826891516150372
DRHR21DT,Dominican Republic,1991,0.0843727732387013,0.181351953714242,0.370764457424064,-0.840228602104268
DRHR32DT,Dominican Republic,1996,0.0704134509023997,0.092246229374858,0.537131478526055,-0.527690570812916
DRHR4ADT,Dominican Republic,2002,0.0842345776470266,0.0686769395210221,0.638000012137443,-0.329254576152333
DRHR52DT,Dominican Republic,2007,0.0927057447748494,0.0757506500344512,0.561204219911443,-0.399595758112784
DRHR5ADT,Dominican Republic,2007,0.158621537694923,0.188374924241998,0.353016052996315,-0.79335254960053
DRHR61DT,Dominican Republic,2013,0.100973319668921,0.086948051749042,0.586598643558739,-0.301431042587144
DRHR6ADT,Dominican Republic,2013,0.129275630996792,0.164930692173145,0.43281812129987,-0.562995696789139
